Sample ID,Sequence Round,Cattle Tag Number,Biorepository Number,USNM Number,Country,Region,Site,Sampling Date,Latitude,Longitude,Region:Site
Perlas_363,1,363,AP3XG54,USNM 1666087,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_364,1,364,AP3XG55,NA,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_365,1,365,AP3XG56,USNM 1666088,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,Panama:Saboga
Perlas_366,1,366,AP3XG57,USNM 1666089,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_367,1,367,AP3XG58,USNM 1666090,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_368,1,368,AP3XG59,USNM 1666091,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_369,1,369,AP3XG60,USNM 1666092,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_370,1,370,AP3XG61,USNM 1666093,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_371,1,371,AP3XG62,USNM 1666094,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_372,1,372,AP3XG63,USNM 1666095,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_373,1,373,AP3XG64,USNM 1666096,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_374,1,374,AP3XG65,USNM 1666097,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_375,1,375,AP3XG66,NA,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_376,1,376,AP3XG67,USNM 1666063,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,Panama:Saboga Islets
Perlas_401,1,401,AP3XG68,USNM 1666100,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_402,1,402,AP3XG69,USNM 1666101,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_403,1,403,AP3XG70,USNM 1666064,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_404,1,404,AP3XG71,USNM 1666102,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_405,1,405,AP3XG72,NA,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_406,1,406,AP3XG73,USNM 1666103,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_407,1,407,AP3XG74,USNM 1666066,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_408,1,408,AP3XG75,USNM 1666104,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_409,1,409,AP3XG76,USNM 1666105,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_410,1,410,AP3XG77,USNM 1666106,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_411,1,411,AP3XG78,USNM 1666107,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
Perlas_412,1,412,AP3XG79,USNM 1666108,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,Panama:San Pedro
URA_12,1,NA,NA,NA,Panama,Panama,Uraba,NA,8.779195994,-79.53109993,Panama:Uraba
URA_16,1,NA,NA,NA,Panama,Panama,Uraba,NA,8.779195994,-79.53109993,Panama:Uraba
URA_51,1,NA,NA,NA,Panama,Panama,Uraba,NA,8.779195994,-79.53109993,Panama:Uraba
Clip_01,2,NA,NA,NA,France,Clipperton,Clipperton,NA,10.28714487,-109.206346,Clipperton:Clipperton
Clip_16,2,NA,NA,NA,France,Clipperton,Clipperton,NA,10.28714487,-109.206346,Clipperton:Clipperton
Clip_19b,2,NA,NA,NA,France,Clipperton,Clipperton,NA,10.28714487,-109.206346,Clipperton:Clipperton
Clip_19c,2,NA,NA,NA,France,Clipperton,Clipperton,NA,10.28714487,-109.206346,Clipperton:Clipperton
Coco_618b,2,618,AP3XF84,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_618c,2,618,AP3XF84,NA,Costa Rica,Coco,Chatham,5/26/21,5.55247,-87.04112,Coco:Chatham
Coco_646,2,646,AP3XF90,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,Coco:Manuelita
Coco_647,2,647,AP3XF91,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,Coco:Manuelita
Coco_653b,2,653,AP3XF97,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,Coco:Manuelita
Coco_653c,2,653,AP3XF97,NA,Costa Rica,Coco,Manuelita,5/27/21,5.56097,-87.04643,Coco:Manuelita
Coco_657,2,657,AP3XG01,NA,Costa Rica,Coco,Weston,5/27/21,5.55259,-87.05227,Coco:Weston
Coco_658,2,658,AP3XG02,NA,Costa Rica,Coco,Weston,5/27/21,5.55259,-87.05227,Coco:Weston
Coco_659,2,659,AP3XG03,NA,Costa Rica,Coco,Weston,5/27/21,5.55259,-87.05227,Coco:Weston
Coco_660,2,660,AP3XG04,NA,Costa Rica,Coco,Weston,5/27/21,5.55259,-87.05227,Coco:Weston
Coco_661,2,661,AP3XG05,NA,Costa Rica,Coco,Weston,5/27/21,5.55259,-87.05227,Coco:Weston
Coco_662,2,662,AP3XG06,NA,Costa Rica,Coco,Weston,5/27/21,5.55259,-87.05227,Coco:Weston
Coco_664,2,664,AP3XG08,NA,Costa Rica,Coco,Weston,5/27/21,5.55259,-87.05227,Coco:Weston
