Sample ID,Genotype ID,Cattle Tag Number,Biorepository Number,USNM Number,Country,Region,Site,Sampling Date,Latitude,Longitude,Set,STRI,RSMAS,ANALYSIS,TECHNICAL_REPLICATE,SINGLE_GENOTYPE,CLONAL_GENOTYPE,NOCLONES_SAMPLE,Region:Site,haplotype,mtorf_type,Species
Coiba_694_AP3XF73,,694,AP3XF73,USNM 1666032,Panama,Chiriqui,Uva Channel,11/30/21,7.861944,-81.78083,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uva Channel,IV,Type 1a,P. grandis
Coiba_696_AP3XF67,,696,AP3XF67,USNM 1666041,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uvas,IV,Type 1a,P. grandis
Coiba_900_AP3XF69,Coiba_D,900,AP3XF69,USNM 1666040,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Chiriqui:Uvas,I,Type 3a,P. verrucosa 3a
Coiba_903_AP3XF59,,903,AP3XF59,USNM 1666024,Panama,Chiriqui,Canales,11/29/21,7.695942,-81.632929,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Canales,IV,Type 1a,P. grandis
Coiba_906_AP3XF65,,906,AP3XF65,USNM 1666025,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uvas,IV,Type 1a,P. grandis
Coiba_907_AP3XF62,,907,AP3XF62,USNM 1666044,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uvas,IV,Type 1a,P. grandis
Coiba_908_AP3XF72,,908,AP3XF72,USNM 1666033,Panama,Chiriqui,Uva Channel,11/30/21,7.861944,-81.78083,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uva Channel,IV,Type 1a,P. grandis
Coiba_910_AP3XF46,,910,AP3XF46,USNM 1666023,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Wahoo,IV,Type 1a,P. grandis
Coiba_914_AP3XF63,Coiba_A,914,AP3XF63,USNM 1666059,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Chiriqui:Uvas,IV,Type 1a,P. grandis
Coiba_915_AP3XF66,,915,AP3XF66,USNM 1666037,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uvas,IV,Type 1a,P. grandis
Coiba_917_AP3XF64,Coiba_A,917,AP3XF64,USNM 1666049,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Chiriqui:Uvas,IV,Type 1a,P. grandis
Coiba_918_AP3XF74,,918,AP3XF74,USNM 1666053,Panama,Chiriqui,Uva Channel,11/30/21,7.861944,-81.78083,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uva Channel,IV,Type 1a,P. grandis
Coiba_919_AP3XF76,,919,AP3XF76,USNM 1666027,Panama,Chiriqui,Uva Channel,11/30/21,7.861944,-81.78083,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uva Channel,IV,Type 1a,P. grandis
Coiba_920_AP3XF71,,920,AP3XF71,USNM 1666031,Panama,Chiriqui,Uva Channel,11/30/21,7.861944,-81.78083,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uva Channel,IV,Type 1a,P. grandis
Coiba_922_AP3XF60,,922,AP3XF60,USNM 1666022,Panama,Chiriqui,Canales,11/29/21,7.695942,-81.632929,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Canales,IV,Type 1a,P. grandis
Coiba_925_AP3XF61,,925,AP3XF61,USNM 1666058,Panama,Chiriqui,Uvas,11/30/21,7.815128015,-81.75892202,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Uvas,I,Type 3a,P. verrucosa 3a
Coiba_927_AP3XF48,,927,AP3XF48,USNM 1666047,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Wahoo,IV,Type 1a,P. grandis
Coiba_928_AP3XF50,,928,AP3XF50,USNM 1666029,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Wahoo,IV,Type 1a,P. grandis
Coiba_929_AP3XF38,,929,AP3XF38,USNM 1666050,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Wahoo,IV,Type 1a,P. grandis
Coiba_930_AP3XF44,,930,AP3XF44,USNM 1666054,Panama,Chiriqui,Wahoo,11/29/21,7.686389,-81.60889,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Chiriqui:Wahoo,IV,Type 1a,P. grandis
Perlas_333_AP3XG24,,333,AP3XG24,USNM 1666067,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:Contadora,IV,Type 1a,P. grandis
Perlas_335_AP3XG26,Perlas_P,335,AP3XG26,USNM 1666098,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Contadora,I,Type 3a,P. verrucosa 3a
Perlas_337_AP3XG28,Perlas_C,337,AP3XG28,USNM 1666061,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Contadora,IV,Type 1a,P. grandis
Perlas_339_AP3XG30,Perlas_C,339,AP3XG30,USNM 1666070,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Contadora,IV,Type 1a,P. grandis
Perlas_340_AP3XG31,,340,AP3XG31,USNM 1666062,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:Contadora,IV,Type 1a,P. grandis
Perlas_341_AP3XG32,Perlas_Coiba_A,341,AP3XG32,USNM 1666071,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Contadora,IV,Type 1a,P. grandis
Perlas_343_AP3XG34,Perlas_D,343,AP3XG34,USNM 1666072,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Contadora,IV,Type 1a,P. grandis
Perlas_344_AP3XG35,Perlas_D,344,AP3XG35,USNM 1666073,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Contadora,IV,Type 1a,P. grandis
Perlas_346_AP3XG37,Perlas_I,346,AP3XG37,USNM 1666074,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Contadora,IV,Type 1a,P. grandis
Perlas_350_AP3XG41,Perlas_O,350,AP3XG41,USNM 1666069,Panama,Panama,Contadora,3/3/22,8.63388,-79.0292,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Contadora,I,Type 3a,P. verrucosa 3a
Perlas_351_AP3XG42,Perlas_F,351,AP3XG42,USNM 1666076,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_352_AP3XG43,,352,AP3XG43,USNM 1666077,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:Saboga,NA,Type 1a,P. grandis
Perlas_353_AP3XG44,Perlas_F,353,AP3XG44,USNM 1666078,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_354_AP3XG45,Perlas_F,354,AP3XG45,USNM 1666079,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_355_AP3XG46,Perlas_F,355,AP3XG46,USNM 1666080,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_356_AP3XG47,Perlas_F,356,AP3XG47,USNM 1666081,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_357_AP3XG48,Perlas_F,357,AP3XG48,USNM 1666082,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_358_AP3XG49,Perlas_N,358,AP3XG49,NA,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Panama:Saboga,I,Type 3a,P. verrucosa 3a
Perlas_359_AP3XG50,Perlas_F,359,AP3XG50,USNM 1666083,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_360_AP3XG51,Perlas_F,360,AP3XG51,USNM 1666084,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_361_AP3XG52,Perlas_H,361,AP3XG52,USNM 1666085,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_362_AP3XG53,Perlas_H,362,AP3XG53,USNM 1666086,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_363_AP3XG54,Perlas_K,363,AP3XG54,USNM 1666087,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_364_AP3XG55,Perlas_K,364,AP3XG55,NA,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_365_AP3XG56,Perlas_H,365,AP3XG56,USNM 1666088,Panama,Panama,Saboga,3/4/22,8.62807,-79.05462,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga,IV,Type 1a,P. grandis
Perlas_366_AP3XG57,Perlas_A,366,AP3XG57,USNM 1666089,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Panama:Saboga Islets,IV,Type 1a,P. grandis
Perlas_367_AP3XG58,,367,AP3XG58,USNM 1666090,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:Saboga Islets,I,Type 3a,P. verrucosa 3a
Perlas_368_AP3XG59,Perlas_A,368,AP3XG59,USNM 1666091,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga Islets,IV,Type 1a,P. grandis
Perlas_369_AP3XG60,Perlas_A,369,AP3XG60,USNM 1666092,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga Islets,IV,Type 1a,P. grandis
Perlas_370_AP3XG61,Perlas_M,370,AP3XG61,USNM 1666093,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:Saboga Islets,I,Type 3a,P. verrucosa 3a
Perlas_371_AP3XG62,Perlas_M,371,AP3XG62,USNM 1666094,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Panama:Saboga Islets,I,Type 3a,P. verrucosa 3a
Perlas_372_AP3XG63,,372,AP3XG63,USNM 1666095,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:Saboga Islets,IV,Type 1a,P. grandis
Perlas_373_AP3XG64,,373,AP3XG64,USNM 1666096,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:Saboga Islets,IV,Type 1a,P. grandis
Perlas_374_AP3XG65,,374,AP3XG65,USNM 1666097,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:Saboga Islets,IV,Type 1a,P. grandis
Perlas_375_AP3XG66,,375,AP3XG66,NA,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:Saboga Islets,IV,Type 1a,P. grandis
Perlas_376_AP3XG67,Perlas_E,376,AP3XG67,USNM 1666063,Panama,Panama,Saboga Islets,3/4/22,8.6383,-79.05535,STRI,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,Panama:Saboga Islets,IV,Type 1a,P. grandis
Perlas_401_AP3XG68,Perlas_G,401,AP3XG68,USNM 1666100,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:San Pedro,IV,Type 1a,P. grandis
Perlas_402_AP3XG69,Perlas_L,402,AP3XG69,USNM 1666101,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Panama:San Pedro,IV,Type 1a,P. grandis
Perlas_403_AP3XG70,Perlas_G,403,AP3XG70,USNM 1666064,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Panama:San Pedro,IV,Type 1a,P. grandis
Perlas_404_AP3XG71,Perlas_L,404,AP3XG71,USNM 1666102,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:San Pedro,IV,Type 1a,P. grandis
Perlas_405_AP3XG72,Perlas_L,405,AP3XG72,NA,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:San Pedro,IV,Type 1a,P. grandis
Perlas_406_AP3XG73,,406,AP3XG73,USNM 1666103,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:San Pedro,IV,Type 1a,P. grandis
Perlas_407_AP3XG74,,407,AP3XG74,USNM 1666066,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:San Pedro,IV,Type 1a,P. grandis
Perlas_408_AP3XG75,,408,AP3XG75,USNM 1666104,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,STRI,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Panama:San Pedro,IV,Type 1a,P. grandis
Perlas_409_AP3XG76,Perlas_J,409,AP3XG76,USNM 1666105,Panama,Panama,San Pedro,3/8/22,8.45996,-78.85208,STRI,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,Panama:San Pedro,IV,Type 1a,P. grandis
